,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price,prev_sold_year,latitude,longitude,county
203,2.0,2.0,0.11,7001.0,1500.0,2006-02-06,265000.0,2006,40.582316,-74.271506,3
204,5.0,3.0,0.11,7001.0,2592.0,2010-06-09,615000.0,2010,40.582316,-74.271506,3
205,3.0,2.0,0.16,7001.0,1500.0,2022-02-01,349900.0,2022,40.582316,-74.271506,3
207,3.0,2.0,0.11,7001.0,1500.0,2017-01-27,415000.0,2017,40.582316,-74.271506,3
208,3.0,1.0,0.11,7001.0,862.0,2007-05-30,375000.0,2007,40.582316,-74.271506,3
209,4.0,2.0,0.17,7001.0,1950.0,2017-08-10,524999.0,2017,40.582316,-74.271506,3
210,3.0,1.0,0.11,7001.0,1500.0,1994-08-05,415000.0,1994,40.582316,-74.271506,3
211,3.0,2.0,0.11,7001.0,1199.0,2011-11-07,350000.0,2011,40.582316,-74.271506,3
212,3.0,2.0,0.11,7001.0,1792.0,2002-11-09,439000.0,2002,40.582316,-74.271506,3
213,3.0,2.0,0.11,7001.0,1295.0,2015-10-08,350000.0,2015,40.582316,-74.271506,3
214,3.0,2.0,0.1,7001.0,1232.0,2000-08-16,449000.0,2000,40.582316,-74.271506,3
215,5.0,3.0,0.14,7001.0,1500.0,2021-06-17,795000.0,2021,40.582316,-74.271506,3
216,4.0,4.0,0.1,7001.0,1620.0,2022-02-25,460000.0,2022,40.582316,-74.271506,3
218,3.0,2.0,0.19,7001.0,1552.0,2021-08-02,335000.0,2021,40.582316,-74.271506,3
219,3.0,2.0,0.11,7001.0,1500.0,1992-09-10,410000.0,1992,40.582316,-74.271506,3
221,3.0,1.0,0.11,7001.0,1500.0,1994-08-05,400000.0,1994,40.582316,-74.271506,3
222,5.0,2.0,0.32,7001.0,1500.0,2008-07-03,524900.0,2008,40.582316,-74.271506,3
223,3.0,2.0,0.11,7001.0,1500.0,2006-02-07,399900.0,2006,40.582316,-74.271506,3
224,3.0,1.0,0.11,7001.0,1109.0,2020-08-19,399900.0,2020,40.582316,-74.271506,3
225,4.0,2.0,0.17,7001.0,1075.0,1995-10-18,350000.0,1995,40.582316,-74.271506,3
226,3.0,2.0,0.11,7001.0,1500.0,2010-03-25,419900.0,2010,40.582316,-74.271506,3
236,4.0,4.0,0.06,7002.0,1500.0,2011-03-02,859000.0,2011,40.662338,-74.110275,1
237,4.0,3.0,0.07,7002.0,1924.0,2008-10-23,649000.0,2008,40.662338,-74.110275,1
238,2.0,2.0,0.03,7002.0,1500.0,2007-06-26,389000.0,2007,40.662338,-74.110275,1
240,3.0,3.0,0.06,7002.0,1315.0,2016-05-17,495000.0,2016,40.662338,-74.110275,1
241,4.0,3.0,0.11,7002.0,1500.0,2021-11-19,650000.0,2021,40.662338,-74.110275,1
244,4.0,3.0,0.09,7002.0,1500.0,2016-06-14,629000.0,2016,40.662338,-74.110275,1
245,4.0,2.0,0.05,7002.0,1500.0,1995-12-07,399000.0,1995,40.662338,-74.110275,1
247,5.0,3.0,0.09,7002.0,1500.0,2001-02-16,575000.0,2001,40.662338,-74.110275,1
248,4.0,2.0,0.05,7002.0,1500.0,2021-10-07,420000.0,2021,40.662338,-74.110275,1
250,6.0,2.0,0.09,7002.0,1500.0,1999-11-04,684000.0,1999,40.662338,-74.110275,1
252,6.0,3.0,0.07,7002.0,1500.0,1993-03-25,750000.0,1993,40.662338,-74.110275,1
255,3.0,2.0,0.69,7002.0,3528.0,2006-07-06,675000.0,2006,40.662338,-74.110275,1
258,3.0,3.0,0.11,7002.0,1500.0,2020-08-24,495000.0,2020,40.662338,-74.110275,1
259,6.0,2.0,0.11,7002.0,2457.0,2014-07-09,649000.0,2014,40.662338,-74.110275,1
260,5.0,3.0,0.05,7002.0,1869.0,2016-08-24,599000.0,2016,40.662338,-74.110275,1
262,6.0,5.0,0.06,7002.0,1500.0,2019-11-18,780000.0,2019,40.662338,-74.110275,1
263,6.0,4.0,0.11,7002.0,1800.0,1987-02-06,630000.0,1987,40.662338,-74.110275,1
266,6.0,3.0,0.06,7002.0,1500.0,2003-05-28,769000.0,2003,40.662338,-74.110275,1
269,5.0,2.0,0.11,7002.0,1500.0,2021-06-25,395000.0,2021,40.662338,-74.110275,1
270,4.0,2.0,0.06,7002.0,1500.0,2006-01-17,395000.0,2006,40.662338,-74.110275,1
273,4.0,2.0,0.04,7002.0,1500.0,2021-09-14,389000.0,2021,40.662338,-74.110275,1
276,5.0,3.0,0.11,7002.0,2500.0,2016-10-05,728000.0,2016,40.662338,-74.110275,1
281,7.0,3.0,0.06,7002.0,1500.0,2001-06-27,499900.0,2001,40.662338,-74.110275,1
283,3.0,2.0,0.05,7002.0,1322.0,2021-05-12,479000.0,2021,40.662338,-74.110275,1
284,5.0,2.0,0.06,7002.0,1500.0,2020-06-22,595000.0,2020,40.662338,-74.110275,1
287,4.0,2.0,0.07,7002.0,2084.0,2002-01-29,549900.0,2002,40.662338,-74.110275,1
288,3.0,2.0,0.06,7002.0,1500.0,2021-03-25,220000.0,2021,40.662338,-74.110275,1
290,4.0,3.0,0.06,7002.0,1500.0,2018-12-12,599000.0,2018,40.662338,-74.110275,1
291,3.0,3.0,0.07,7002.0,1500.0,2016-01-26,549000.0,2016,40.662338,-74.110275,1
293,2.0,2.0,0.06,7002.0,1500.0,2016-05-20,420000.0,2016,40.662338,-74.110275,1
294,4.0,2.0,0.09,7002.0,1500.0,2001-01-18,560000.0,2001,40.662338,-74.110275,1
295,3.0,2.0,0.13,7002.0,1500.0,1986-08-28,549999.0,1986,40.662338,-74.110275,1
297,3.0,3.0,0.06,7002.0,1500.0,2021-08-06,450000.0,2021,40.662338,-74.110275,1
298,6.0,3.0,0.11,7002.0,1500.0,2021-09-27,699000.0,2021,40.662338,-74.110275,1
299,5.0,2.0,0.11,7002.0,1500.0,2021-09-01,625000.0,2021,40.662338,-74.110275,1
