,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
277,6.0,3.0,0.29,6040.0,2808.0,279900.0,1987.0,41.761415,-72.525608,12.0
281,2.0,1.0,0.14,6040.0,1030.0,189900.0,2020.0,41.761415,-72.525608,12.0
282,3.0,2.0,1.37,6040.0,1526.0,329900.0,2017.0,41.761415,-72.525608,12.0
283,3.0,2.0,0.17,6040.0,1319.0,209000.0,1987.0,41.761415,-72.525608,12.0
285,6.0,5.0,0.31,6040.0,4048.0,499900.0,2006.0,41.761415,-72.525608,12.0
287,6.0,4.0,0.14,6040.0,2176.0,365000.0,1989.0,41.761415,-72.525608,12.0
288,4.0,4.0,0.79,6040.0,2722.0,474500.0,2000.0,41.761415,-72.525608,12.0
289,6.0,2.0,0.27,6040.0,2568.0,279000.0,2018.0,41.761415,-72.525608,12.0
290,3.0,2.0,0.17,6040.0,1259.0,225000.0,2017.0,41.761415,-72.525608,12.0
291,3.0,3.0,0.2,6040.0,1386.0,220000.0,2011.0,41.761415,-72.525608,12.0
292,3.0,1.0,0.23,6040.0,1152.0,209900.0,2007.0,41.761415,-72.525608,12.0
293,3.0,2.0,0.2,6040.0,1144.0,278000.0,2005.0,41.761415,-72.525608,12.0
296,3.0,1.0,0.21,6040.0,1314.0,264900.0,2017.0,41.761415,-72.525608,12.0
297,6.0,2.0,0.13,6040.0,2112.0,289900.0,1988.0,41.761415,-72.525608,12.0
299,3.0,1.0,0.18,6040.0,1163.0,224900.0,2016.0,41.761415,-72.525608,12.0
303,6.0,2.0,1.26,6042.0,1808.0,325000.0,2000.0,41.802752,-72.521008,12.0
304,3.0,2.0,0.25,6042.0,2235.0,215000.0,2014.0,41.802752,-72.521008,12.0
305,4.0,1.0,0.15,6042.0,1080.0,109900.0,2004.0,41.802752,-72.521008,12.0
307,5.0,2.0,0.26,6042.0,1294.0,140000.0,2005.0,41.802752,-72.521008,12.0
308,3.0,2.0,0.51,6042.0,1380.0,249500.0,1993.0,41.802752,-72.521008,12.0
309,3.0,2.0,0.92,6042.0,1152.0,44900.0,1999.0,41.802752,-72.521008,12.0
310,2.0,2.0,0.55,6042.0,1200.0,254900.0,1999.0,41.802752,-72.521008,12.0
311,4.0,2.0,0.25,6042.0,1456.0,269900.0,2016.0,41.802752,-72.521008,12.0
312,3.0,2.0,0.19,6042.0,1416.0,269900.0,2019.0,41.802752,-72.521008,12.0
314,2.0,2.0,0.11,6042.0,1210.0,139900.0,1994.0,41.802752,-72.521008,12.0
315,3.0,2.0,0.48,6042.0,1248.0,184900.0,2002.0,41.802752,-72.521008,12.0
316,5.0,5.0,0.4,6042.0,2996.0,399900.0,2016.0,41.802752,-72.521008,12.0
317,6.0,4.0,0.17,6042.0,2190.0,309000.0,2019.0,41.802752,-72.521008,12.0
