,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
182,4.0,2.0,0.17,7001.0,1842.0,440000.0,2015.0,40.582316,-74.271506,3.0
184,3.0,3.0,0.06,7001.0,1476.0,399000.0,1990.0,40.582316,-74.271506,3.0
186,3.0,2.0,0.17,7001.0,7501.0,340000.0,2021.0,40.582316,-74.271506,3.0
187,5.0,2.0,0.18,7001.0,1387.0,484000.0,2020.0,40.582316,-74.271506,3.0
188,3.0,2.0,0.17,7001.0,1500.0,425000.0,2019.0,40.582316,-74.271506,3.0
189,2.0,2.0,0.11,7001.0,1500.0,240000.0,1999.0,40.582316,-74.271506,3.0
190,4.0,4.0,0.06,7001.0,2296.0,525000.0,2017.0,40.582316,-74.271506,3.0
191,3.0,2.0,0.14,7001.0,1500.0,329000.0,2019.0,40.582316,-74.271506,3.0
192,2.0,1.0,0.14,7001.0,720.0,275000.0,2010.0,40.582316,-74.271506,3.0
193,2.0,2.0,0.11,7001.0,1500.0,275000.0,2009.0,40.582316,-74.271506,3.0
194,4.0,1.0,0.11,7001.0,1500.0,325000.0,2008.0,40.582316,-74.271506,3.0
195,3.0,1.0,0.17,7001.0,1008.0,325000.0,2022.0,40.582316,-74.271506,3.0
198,5.0,4.0,0.34,7001.0,3182.0,799900.0,2021.0,40.582316,-74.271506,3.0
201,3.0,2.0,0.11,7001.0,1500.0,409000.0,2014.0,40.582316,-74.271506,3.0
202,5.0,2.0,0.17,7001.0,2635.0,545000.0,1993.0,40.582316,-74.271506,3.0
203,2.0,2.0,0.11,7001.0,1500.0,265000.0,2006.0,40.582316,-74.271506,3.0
204,5.0,3.0,0.11,7001.0,2592.0,615000.0,2010.0,40.582316,-74.271506,3.0
205,3.0,2.0,0.16,7001.0,1500.0,349900.0,2022.0,40.582316,-74.271506,3.0
207,3.0,2.0,0.11,7001.0,1500.0,415000.0,2017.0,40.582316,-74.271506,3.0
208,3.0,1.0,0.11,7001.0,862.0,375000.0,2007.0,40.582316,-74.271506,3.0
209,4.0,2.0,0.17,7001.0,1950.0,524999.0,2017.0,40.582316,-74.271506,3.0
210,3.0,1.0,0.11,7001.0,1500.0,415000.0,1994.0,40.582316,-74.271506,3.0
211,3.0,2.0,0.11,7001.0,1199.0,350000.0,2011.0,40.582316,-74.271506,3.0
212,3.0,2.0,0.11,7001.0,1792.0,439000.0,2002.0,40.582316,-74.271506,3.0
213,3.0,2.0,0.11,7001.0,1295.0,350000.0,2015.0,40.582316,-74.271506,3.0
214,3.0,2.0,0.1,7001.0,1232.0,449000.0,2000.0,40.582316,-74.271506,3.0
215,5.0,3.0,0.14,7001.0,1500.0,795000.0,2021.0,40.582316,-74.271506,3.0
216,4.0,4.0,0.1,7001.0,1620.0,460000.0,2022.0,40.582316,-74.271506,3.0
218,3.0,2.0,0.19,7001.0,1552.0,335000.0,2021.0,40.582316,-74.271506,3.0
219,3.0,2.0,0.11,7001.0,1500.0,410000.0,1992.0,40.582316,-74.271506,3.0
221,3.0,1.0,0.11,7001.0,1500.0,400000.0,1994.0,40.582316,-74.271506,3.0
222,5.0,2.0,0.32,7001.0,1500.0,524900.0,2008.0,40.582316,-74.271506,3.0
223,3.0,2.0,0.11,7001.0,1500.0,399900.0,2006.0,40.582316,-74.271506,3.0
224,3.0,1.0,0.11,7001.0,1109.0,399900.0,2020.0,40.582316,-74.271506,3.0
225,4.0,2.0,0.17,7001.0,1075.0,350000.0,1995.0,40.582316,-74.271506,3.0
226,3.0,2.0,0.11,7001.0,1500.0,419900.0,2010.0,40.582316,-74.271506,3.0
236,4.0,4.0,0.06,7002.0,1500.0,859000.0,2011.0,40.662338,-74.110275,8.0
237,4.0,3.0,0.07,7002.0,1924.0,649000.0,2008.0,40.662338,-74.110275,8.0
238,2.0,2.0,0.03,7002.0,1500.0,389000.0,2007.0,40.662338,-74.110275,8.0
240,3.0,3.0,0.06,7002.0,1315.0,495000.0,2016.0,40.662338,-74.110275,8.0
241,4.0,3.0,0.11,7002.0,1500.0,650000.0,2021.0,40.662338,-74.110275,8.0
244,4.0,3.0,0.09,7002.0,1500.0,629000.0,2016.0,40.662338,-74.110275,8.0
245,4.0,2.0,0.05,7002.0,1500.0,399000.0,1995.0,40.662338,-74.110275,8.0
247,5.0,3.0,0.09,7002.0,1500.0,575000.0,2001.0,40.662338,-74.110275,8.0
248,4.0,2.0,0.05,7002.0,1500.0,420000.0,2021.0,40.662338,-74.110275,8.0
250,6.0,2.0,0.09,7002.0,1500.0,684000.0,1999.0,40.662338,-74.110275,8.0
252,6.0,3.0,0.07,7002.0,1500.0,750000.0,1993.0,40.662338,-74.110275,8.0
255,3.0,2.0,0.69,7002.0,3528.0,675000.0,2006.0,40.662338,-74.110275,8.0
258,3.0,3.0,0.11,7002.0,1500.0,495000.0,2020.0,40.662338,-74.110275,8.0
259,6.0,2.0,0.11,7002.0,2457.0,649000.0,2014.0,40.662338,-74.110275,8.0
260,5.0,3.0,0.05,7002.0,1869.0,599000.0,2016.0,40.662338,-74.110275,8.0
262,6.0,5.0,0.06,7002.0,1500.0,780000.0,2019.0,40.662338,-74.110275,8.0
263,6.0,4.0,0.11,7002.0,1800.0,630000.0,1987.0,40.662338,-74.110275,8.0
266,6.0,3.0,0.06,7002.0,1500.0,769000.0,2003.0,40.662338,-74.110275,8.0
269,5.0,2.0,0.11,7002.0,1500.0,395000.0,2021.0,40.662338,-74.110275,8.0
270,4.0,2.0,0.06,7002.0,1500.0,395000.0,2006.0,40.662338,-74.110275,8.0
273,4.0,2.0,0.04,7002.0,1500.0,389000.0,2021.0,40.662338,-74.110275,8.0
276,5.0,3.0,0.11,7002.0,2500.0,728000.0,2016.0,40.662338,-74.110275,8.0
281,7.0,3.0,0.06,7002.0,1500.0,499900.0,2001.0,40.662338,-74.110275,8.0
283,3.0,2.0,0.05,7002.0,1322.0,479000.0,2021.0,40.662338,-74.110275,8.0
284,5.0,2.0,0.06,7002.0,1500.0,595000.0,2020.0,40.662338,-74.110275,8.0
287,4.0,2.0,0.07,7002.0,2084.0,549900.0,2002.0,40.662338,-74.110275,8.0
288,3.0,2.0,0.06,7002.0,1500.0,220000.0,2021.0,40.662338,-74.110275,8.0
290,4.0,3.0,0.06,7002.0,1500.0,599000.0,2018.0,40.662338,-74.110275,8.0
291,3.0,3.0,0.07,7002.0,1500.0,549000.0,2016.0,40.662338,-74.110275,8.0
293,2.0,2.0,0.06,7002.0,1500.0,420000.0,2016.0,40.662338,-74.110275,8.0
294,4.0,2.0,0.09,7002.0,1500.0,560000.0,2001.0,40.662338,-74.110275,8.0
295,3.0,2.0,0.13,7002.0,1500.0,549999.0,1986.0,40.662338,-74.110275,8.0
297,3.0,3.0,0.06,7002.0,1500.0,450000.0,2021.0,40.662338,-74.110275,8.0
298,6.0,3.0,0.11,7002.0,1500.0,699000.0,2021.0,40.662338,-74.110275,8.0
299,5.0,2.0,0.11,7002.0,1500.0,625000.0,2021.0,40.662338,-74.110275,8.0
300,6.0,4.0,0.09,7002.0,1406.0,599999.0,2021.0,40.662338,-74.110275,8.0
301,3.0,2.0,0.06,7002.0,1500.0,269000.0,2010.0,40.662338,-74.110275,8.0
302,3.0,2.0,0.11,7002.0,1500.0,365000.0,2019.0,40.662338,-74.110275,8.0
303,5.0,2.0,0.06,7002.0,1500.0,593200.0,2011.0,40.662338,-74.110275,8.0
304,7.0,3.0,0.07,7002.0,1500.0,799999.0,1993.0,40.662338,-74.110275,8.0
311,6.0,3.0,0.05,7002.0,1500.0,549000.0,2003.0,40.662338,-74.110275,8.0
315,6.0,2.0,0.06,7002.0,1500.0,599000.0,2022.0,40.662338,-74.110275,8.0
316,6.0,2.0,0.07,7002.0,1500.0,599000.0,2021.0,40.662338,-74.110275,8.0
319,4.0,4.0,0.06,7002.0,1500.0,679000.0,2016.0,40.662338,-74.110275,8.0
322,6.0,3.0,0.08,7002.0,1500.0,749000.0,1995.0,40.662338,-74.110275,8.0
323,4.0,4.0,0.08,7002.0,1500.0,585000.0,1998.0,40.662338,-74.110275,8.0
325,5.0,3.0,0.11,7002.0,1500.0,649000.0,2003.0,40.662338,-74.110275,8.0
326,3.0,3.0,0.11,7002.0,1874.0,775000.0,1998.0,40.662338,-74.110275,8.0
328,6.0,3.0,0.06,7002.0,1500.0,549000.0,2003.0,40.662338,-74.110275,8.0
329,3.0,2.0,0.03,7002.0,1500.0,550000.0,2001.0,40.662338,-74.110275,8.0
331,5.0,3.0,0.11,7002.0,1500.0,625000.0,2003.0,40.662338,-74.110275,8.0
332,3.0,2.0,0.06,7002.0,1500.0,549900.0,1987.0,40.662338,-74.110275,8.0
333,7.0,4.0,0.05,7002.0,1500.0,750000.0,2021.0,40.662338,-74.110275,8.0
335,2.0,2.0,0.14,7002.0,1500.0,799000.0,2021.0,40.662338,-74.110275,8.0
342,2.0,4.0,0.28,7003.0,1400.0,370000.0,2015.0,40.809128,-74.187155,3.0
343,2.0,1.0,0.06,7003.0,1500.0,299000.0,2021.0,40.809128,-74.187155,3.0
344,3.0,2.0,0.09,7003.0,1500.0,499000.0,2015.0,40.809128,-74.187155,3.0
345,3.0,3.0,0.11,7003.0,1500.0,420000.0,1992.0,40.809128,-74.187155,3.0
346,3.0,3.0,0.25,7003.0,1500.0,579000.0,2021.0,40.809128,-74.187155,3.0
348,3.0,2.0,0.09,7003.0,1500.0,575000.0,2021.0,40.809128,-74.187155,3.0
